Author,long,lat,Journal,IF,IFyear,City,Year,Institude
Junhua Hu,104.0647,30.6586,Scientific Reports,5.078,2013,Chengdu,2015,CAS
Huijie Qiao,116.3833,39.9167,Methods in Ecology and Evolution,5.322,2013,Beijing,2015,CAS
Neil Rosser,0.1275,51.5072,BMC Evolutionary Biology,3.41,2013,London,2015,University College London
Erin Saupe,-72.2494,41.8083,Global Ecology and Biogeography,7.242,2013,Storrs,2015,University of Connecticut
Luis Escobar,-76.1444,43.0469,Geospatial health,1.00,2013,Syracuse,2014,State University of New York
Luana Tocchio,-47.7578,-15.7950,Zoologica Scripta,2.922,2013,Distrito Federal,2014,Universidade de Brasilia
Stefan Vilges de Oliveira,-47.8828,-15.7939,Plos ONE,3.73,2012,Brasília,2013, Universidade de Brasília
Townsend Peterson,-95.2353,38.9717,Methods in Ecology and Evolution,5.322,2013,Lawrence,2015,KU
Bruce Lieberman,-95.2353,38.9717,Global Ecology and Biogeography,7.242,2013,Lawrence,2015,KU
Rodrigo Gurgel-Gonçalves,-47.8828,-15.7939,Plos ONE,3.73,2012,Brasília,2013, Universidade de Brasília


